H2,,Ar,,CO2,,H20,,CH4,,CO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-9.152312469357739,63.10531296959889,-8.81312305932342,19.984972835510348,-9.224261738152897,15.84099578608884,-3.040325216538651,1.1574528956190164,-8.81312305932342,0.2153981147739188,-9.200168872909515,0.11923883383599154
-7.252851773165551,62.79256733325627,-6.325734052405077,19.984972835510348,-6.677486033181409,15.472296073671643,-0.1039725990085536,2.1577707779447053,-6.325734052405077,0.32445014239026193,-6.712779865991174,0.15671118770645087
-5.4714792419482725,62.52218754415032,-3.8383450454867347,20.000551696598393,-4.089596460326973,15.548459394546555,2.342439759583085,2.886307299091939,-3.994894003964113,0.4241500979017019,-4.2253908590728315,0.1999747235387055
-3.637343913614547,62.08424844911956,-1.350956038568393,20.0628671409506,-1.501706887472535,15.300928601703092,4.822291224056219,3.32805456016645,-1.350956038568393,0.5425541976229766,-1.7380018521544898,0.27100186701134454
-1.8283337267648427,61.70343184474499,1.1364329683499488,20.140761446390854,0.7972435583156301,15.015316148422144,7.342342914903792,5.076002774245751,1.1364329683499488,0.8385525582959446,0.749387154763852,0.3298788836229587
-0.19519953030330406,61.26549274971423,3.6238219752682905,20.218655751831108,3.3298578199052145,14.65544445728817,9.95535762924225,7.235232921049601,3.6238219752682905,1.1812875022330616,3.2367761616821937,0.5552807697831401
1.5660728877267527,60.530516703271296,6.111210982186634,20.34328664053551,5.859959567346394,14.215601279235557,12.487971890831837,8.948907640735186,6.111210982186634,1.742126501402879,3.8020918450727272,-0.013617693522904872
3.4479459848801266,59.84377742671581,8.598599989104976,20.59254841794433,8.44784914020083,13.16835561720545,14.905010501594912,10.597843537677079,8.598599989104976,2.4743329725412906,5.7241651686005355,0.8056642251902932
5.282081313213851,58.80922565149822,11.085988996023318,20.90412563970534,10.83473758118308,12.102069124956657,17.349686767990413,12.376257080106356,11.085988996023318,3.346749193472121,8.211554175518877,1.148025276461297
7.116216641547577,57.51444919662467,13.57337800294166,21.293597166906608,13.008062319551126,11.630808577043126,19.88230102958,13.969974569413935,13.57337800294166,4.203586553314906,10.698943182437219,1.3915955766192738
8.950351969881307,55.458039533001966,16.06076700986,21.636332110843725,17.291898942577163,10.464557726145983,22.4375279185052,15.306640850768702,16.06076700986,5.09158163533381,13.18633218935556,1.4767600172339517
10.746799585988999,53.91573228528494,18.548156016778343,21.947909332604738,19.879788515431596,10.255108593739962,24.85456652926828,16.424337584608082,18.548156016778343,5.870524689736342,15.673721196273902,1.492089616544595
12.028181801674204,52.31630254691173,21.035545023696688,22.337380859806018,22.467678088286032,9.77908783827175,27.299242795663776,17.72292220552538,21.035545023696688,6.665046605226934,18.161110203192244,1.449507396237255
13.550765375606037,50.93393827303203,23.52293403061503,22.617800359390927,24.85456652926828,9.398271233897162,29.83185705725337,19.128135475667563,23.52293403061503,7.319358770925078,20.64849921011059,1.3881889989946874
15.432638472759411,49.19360639104022,26.01032303753337,22.804746692447537,27.14095440431443,9.805745000577971,32.341858691507326,20.29655005727136,26.01032303753337,7.926934353359044,23.13588821702893,1.2842883814447799
17.25923625864793,47.50658883366085,28.497712044451713,23.11632391420855,31.47504131030851,8.160617269679804,34.778997415457624,21.336871781040088,28.497712044451713,8.59682538014522,25.623277223947273,1.221266695389918
19.100909129426867,46.01378774451252,30.985101051370055,23.412322274881518,33.89961746351679,7.989249797711253,37.49753772402899,22.67544214541671,30.985101051370055,9.37576843454778,28.110666230865615,1.1309923883383615
20.935044457760586,44.547643817670405,33.4724900582884,23.77063607990668,36.48750703637124,7.894045646617613,40.03015198561857,23.823604207606053,33.4724900582884,10.030080600245896,30.598055237783957,1.0322016372253362
22.731492073868278,43.24810715524217,35.959879065206735,24.16010760710796,38.874395477353474,7.494188212024298,42.562766247208145,24.594757831464563,35.959879065206735,10.606498460503772,33.0854442447023,0.9385207525491914
24.012874289553483,42.20562170076678,38.447268072125084,24.58073685648533,41.31907174374898,7.098138943474737,45.00492999945526,25.354486957191853,38.447268072125084,11.151758598585559,35.57283325162064,0.8703892000574474
25.535457863485323,41.165992370824185,40.93465707904342,24.44052710669287,43.851686005338564,6.97818171309676,47.447093751702354,25.897150618425613,40.93465707904342,11.72817645884345,38.060222258538985,0.7954444923165305
27.389693305006265,39.93214657265056,43.42204608596177,24.1445287460199,46.437063064044594,6.770636663712622,49.97970801329194,26.394116287134437,43.42204608596177,12.179963430396924,40.54761126545732,0.7324228062616704
29.243928746527214,38.595480291295814,45.9094350928801,24.33147507907651,48.90560821484992,6.575468153970647,52.51232227488153,26.23988556236273,45.9094350928801,12.491540652157923,43.03500027237567,0.6659945425822205
31.098164188048163,37.05317304357878,48.39682409979845,24.611894578661435,51.268627771422345,6.464079297191091,53.823854660347564,25.811466882441337,48.39682409979845,12.7563812906548,45.522389279294,0.6251156110871765
32.91973694563987,35.922147728586296,50.884213106716786,24.76768318954194,53.25853897695703,6.6468712672908765,56.98962248733454,25.835947949865428,50.884213106716786,12.896591040447248,48.00977828621235,0.587643257216719
34.71618456174757,34.893942896774945,53.14547584027892,24.726139559973802,56.98962248733454,6.8631206962035805,60.042327177643415,25.74720408045313,53.14547584027892,12.768498182612163,50.49716729313069,0.5723136579060757
35.997566777432766,33.780054328979304,56.98962248733454,24.34532295559923,59.92926404096531,6.868220918583589,-8.954022988505749,0.48780487804877737,56.98962248733454,12.60059267977428,52.75843002669282,0.5692855889064425
37.593013261668276,32.989859874902066,59.92926404096531,24.307241295161774,,,-6.862068965517241,0.48780487804877737,60.042327177643415,12.58189804646861,56.82870294710466,0.6005125504651598
39.37438579288555,31.757918159750318,,,,,-4.850574712643677,0.731707317073159,,,59.868845066671526,0.6167373527141837
41.2286212344065,30.78112356952954,,,,,,,,,,
43.082856675927445,29.855739220899324,,,,,,,,,,
44.904429433519155,29.143612170718868,,,,,,,,,,
46.700877049626854,28.87466044387932,,,,,,,,,,
48.50988723647656,28.574767367934342,,,,,,,,,,
50.31889742332626,28.381978961969722,,,,,,,,,,
52.12790761017597,28.253453357993294,,,,,,,,,,
53.48466525031324,28.296295225985432,,,,,,,,,,
56.88912192139844,28.80087722678175,,,,,,,,,,
58.911695810862355,29.024606981851818,,,,,,,,,,
60.21999782099472,28.79815710817907,,,,,,,,,,
